sid,case,feature,align,win_start,win_end,win_center_ms,win_center_stim_aligned_ms,peak_time_ms,peak_time_stim_aligned_ms,win_len_ms,reaction_time_ms
20201204,case_vi,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,228.7374999999133,-10.000000009313226,213.7374999906001,50.0,223.73749999991333
20201211,case_i,C,sacc,-80.00000000000003,-30.00000000000003,-55.00000000000003,177.57500000022443,-60.00000052154064,172.57499947868382,50.0,232.57500000022446
20201211,case_i,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,237.57500000022443,-10.000000009313226,222.57499999091124,50.0,232.57500000022446
20201211,case_ii,C,sacc,-60.00000000000003,-10.000000000000023,-35.00000000000003,197.57500000022443,-49.999999813735485,182.57500018648898,50.00000000000001,232.57500000022446
20201211,case_ii,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,237.57500000022443,0.0,232.57500000022446,50.0,232.57500000022446
20201211,case_iii,C,sacc,-40.00000000000002,9.99999999999998,-15.000000000000021,217.57500000022443,-20.000000251457095,212.57499974876737,50.0,232.57500000022446
20201211,case_iii,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,237.57500000022443,0.0,232.57500000022446,50.0,232.57500000022446
20201211,case_iv,C,stim,140.0,190.0,165.0,165.0,170.00000178813934,170.00000178813934,50.0,232.57500000022446
20201211,case_iv,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,237.57500000022443,-10.000000009313226,222.57499999091124,50.0,232.57500000022446
20201211,case_v,C,stim,140.0,190.0,165.0,165.0,170.00000178813934,170.00000178813934,50.0,232.57500000022446
20201211,case_v,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,237.57500000022443,0.0,232.57500000022446,50.0,232.57500000022446
20201211,case_vi,C,stim,199.99999999999997,250.0,225.0,225.0,219.9999988079071,219.9999988079071,50.00000000000003,232.57500000022446
20201211,case_vi,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,237.57500000022443,-10.000000009313226,222.57499999091124,50.0,232.57500000022446
20201216,case_i,C,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,232.52500000001416,20.000000251457095,247.52500025147128,50.0,227.5250000000142
20201216,case_i,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,232.52500000001416,-10.000000009313226,217.52499999070096,50.0,227.5250000000142
20201216,case_ii,C,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,232.52500000001416,-10.000000009313226,217.52499999070096,50.0,227.5250000000142
20201216,case_ii,S,sacc,-40.00000000000002,9.99999999999998,-15.000000000000021,212.52500000001416,-30.00000026077032,197.52499973924387,50.0,227.5250000000142
20201216,case_iii,C,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,232.52500000001416,-10.000000009313226,217.52499999070096,50.0,227.5250000000142
